,skill_info_processed
5683,hybridmodell -- hybridmodell umfassen grundsatz grundlage serviceorientiert modellierung geschäft softwaresystem -- gestaltung spezifikation serviceorientiert geschäftssystem innerhalb vielzahl architekturmuster unternehmensarchitektur ermöglichen -- 
5684,schallplatte prägen -- prägen schallplatte einlegen kunststoffverbindung pressform -- start pressvorgang -- schallplatte prägen -- positionieren schallplatte kantenschneidevorrichtung -- drehen schallplatte kreismesser -- kante entgraten -- 
5685,"möbel anordnen -- umstelle anordnen möbelstück stuhl tische -- seminar sitzung vorbereiten veranstaltung sitzung ursprünglich zustand raum gebäude wiederherstellen -- 
    "
5686,lebensmittel getränkeprob analysieren -- untersuchen -- lebensmittel getränk menschlich verzehr unbedenklich -- überprüfen anteil wichtig inhaltsstoff -- angabe etikett nährstoffgehalte richtigkeit -- sicherstelle -- lebensmittel getränkeprob jeweilig standard verfahren entsprechen -- 
5687,klaue rind schneiden -- schneiden klaue rind -- klauengesundheit -- tierschutz produktivität wahren berücksichtigen sicher arbeitsverfahr mensch tier -- 
5688,tier möglichkeit verfügung stellen -- natürlich verhalten ausdruck bringen -- beachten natürlich verhalten tier anpassen haltungsumgebung förderung natürlich verhalten -- änderung umgebung -- ernährung -- gruppenzusammensetzung -- haltungsablauf usw. umfassen -- 
5689,art bohraufsätz -- qualität anwendung verschieden art bohraufsätz -- u. a. aufbohrköpfe feinbohrköpfe -- 
5690,theorie persönlichkeitsentwicklung -- theorie gesund psychopathologisch persönlichkeitsentwicklung -- 
5691,blutprobe analysieren -- untersuchen blutprobe mittels computergestützt manuell verfahren anomalio weiß rot blutkörperch risikofaktor -- 
5692,brechkraft -- brechkraft brechungskraft bezeichnen -- stark optisch system -- z. b. linse -- lichtstrahlen konvergieren divergieren -- divergierend linse negativ brechkraft -- konvergierend linse positiv brechkraft -- 
5693,tauchbeckentype -- verschieden art becken -- beschichtung tauchverfahr verwenden -- z. b. becken wassertransferdruck -- farbtauchbecke u. a. 
5694,hinsichtlich sozial medium laufenden bleiben -- verfolgen trend mensch sozial medium facebook -- twitter instagram -- 
5695,hindernis überwachen -- überwachen aufbau vorübergehend bau -- voraussichtlich monat bestehen bleiben -- 
5696,herstellung metallkleinteil -- herstellung stahlseile -- geflochten band anderer art -- unisoliert isoliert kabel -- leiter strom verwenden -- beschichtet draht -- fülldraht -- stacheldraht -- drahtzaun -- gitter -- netz -- geflechter usw. herstellung beschichtet elektrode lichtbogenschweißen -- nägel stift -- kette feder -- ausnehmen uhrfeder ): blätt feder -- 
5697,bindearbeit kontrollieren -- überprüfen geheftet -- kollationiert -- gebunden ungebunden papier -- anhand musterexemplar vergewissern -- seite numerisch folioreihenfolg binden -- einleiten folgemaßnahme möglich defekt fehlerhaft bindearbeit -- tintenfleck -- rissen -- los ungleichmäßig seite los ungeschnitten faden -- 
5698,genetisch selektionsprogramm -- methode planung durchführung genetisch selektionsprogramm ausgewählt fischart -- weichtier -- krebstier art -- 
5699,norwegisch sprechen -- mündliches kommunizieren norwegisch sprache -- 
5700,medienplan erstellen -- festlegen -- -- werbung verschieden medium verteilen -- entscheiden verbraucherzielgruppe -- gebiet marketingziel -- medienplattform werbung wählen -- 
5701,gasfeuerung regulieren -- regulieren gasfeuerung glasteilkanter -- rutschen glasteil führungsrädern vermeiden -- 
5702,präsentation fahrzeug vertragshändlerbetrieb beaufsichtigen -- beaufsichtig überwachen physisch präsentation fahrzeug räumlichkeit -- 
5703,krankenpflegekräft kommunizieren -- kommunizieren krankenpflegekräft angehörige gesundheitsberufe -- hochwertig sicher krankenpflege sicherstellen -- 
5704,lotterieausrüstung instand halten -- instandhalt mechanisch elektronisch lotterieausrüstung überwachen vertriebsablauf -- 
5705,zutat lebensmittelproduktion beigeben -- beigeb zutat laut rezept erforderlich menge berücksichtigung art weise -- zutat beigeben -- 
5706,papierböge messen -- verwenden lineal messe anpassen größe reihenfolge benötigt papierböge -- ausrichten -- anpassen sichern papier innerhalb messvorrichtung bestimmt position -- 
5707,livesendung dolmetschen -- konsekutiv simultandolmetschen gesprochen information livesendung interview -- politisch rede öffentlich bekanntmachung -- 
5708,diagnose defekt motor erstellen -- erstellen diagnos motorschäde -störung überprüfen mechanisch anlage -- verwenden instrument fahrgestellspezifikatione -- manometer motoranalysegerät -- 
5709,unterstützung missionsarbeit leisten -- unterstützen missionar aufgabe verbesserung gesundheitsversorgung -- bildung -- geistig orientierung -- alphabetisierung sozial gerechtigkeit karitativ aufgabe bestimmt gebiet -- spirituell botschaft verbreiten soweit hilfe leisten -- 
5710,videoübertragung einstellen -- einstellen wiedergabetreue -- helligkeit kontrast videoübertragung bedienfeld videokonsol -- 
5711,holzplattenausrüstung reparieren -- reparieren defekt bauteil system maschine gerät herstellung holz korkplatt hand elektrowerkzeuge -- 
5712,dialog schreiben -- schreiben gespräch figur -- 
5713,aktivität einrichtung organisieren -- entwickeln fördern aktivität deckung kundenbedarf generierung umsatz -- 
5714,erhaltung natürlich lebensraum -- methode erhaltung -- natürlich mensch geschaffen -- vorzug naturgebiet -- einschließlich programmentwicklung -durchführung -- 
5715,erfüllung anforderung endprodukt sicherstellen -- sicherstelle -- endprodukt unternehmensspezifikation erfüllen übertreffen -- 
5716,lebensmittelverarbeitung tätige beraten -- beraten unterweise lebensmittelverarbeitung tätig mitarbeiter effiziente geeignetst methode herstellung lebensmittel getränk -- 
5717,prozess weingärung -- prozess gärung wein -- verschieden befolgend schritt -- zeitablauf produktparameter umfassen -- 
5718,waffe munitionsart -- waffe pistole maschinengewehr -- funktionsweise -- verschieden munitionsart stellung markt -- 
5719,informationssicherheit gewährleisten -- sicherstelle -- überwachunge ermittlung gesammelt information befugt person empfangen verwenden feindlich unbefugt hand gelangen -- 
5720,entwurf werkstück übertragen -- verwenden stift schneidwerkzeug -- duplizieren entwurf schriftzug werkstück -- 
5721,technisch frachtüberwachungssystem eisenbahnverkehr bedienen -- bedienen überwachung kontrollsysteme überprüfung entscheidend parameter frachtbedingunge fahrzeug-gleis-system -- ermitteln zusammenstell potenziell gefahr -- fracht -- strecke zug ausgehen -- 
5722,"strategie handel fahrzeugausstellungsraum festlegen -- ausarbeit plan steigerung absatz neu gebraucht fahrzeug örtlich vertrieb fahrzeug -- 
 
  "
5723,analytik geschäftlich zweck nutzen -- verstehen -- extrahieren verwenden must datum -- verwenden analytik beschreibung konsistent muster beobachtet stichprobe -- muster geschäftlich planung -- strategie unternehmensmission verwenden -- 
5724,technik filmmusik -- verständnis -- filmmusik gewünscht wirkung stimmung erzeugen -- 
5725,rehabilitationsprozess beitragen -- beitrag rehabilitationsprozess -- mithilfe personenorientiert faktengestützt ansatz aktivität -- funktionsweise beteiligung verbessern -- 
5726,damm bauen -- entwässer geeignet gebiet bau umleitungsstollen verwend erdbaumaschinen bau fangedamm -- entfernen stein schutt -- betonanlage bauen -- fugenbänder eindringen wasser verhindern -- 
5727,art handbetrieben druckmaschine -- verfahren einrichtung verschieden handbetrieben druckmaschine stempel -- siegel -- prägung stempelkisse anwendung -- 
5728,diebstahl verhindern -- verhindern diebstahl raub -- verhindern -- bargeld stehlen beschädigen person bestehlen -- 
5729,art windkraftanlage -- hauptarte windkraftanlage -- der heißen windkraftanlage -- entlang horizontal vertikal achse rotieren -- unterart -- eigenschaft verwendungsgebieter art -- 
5730,forschung entwicklung textilbereich -- entwicklung neu konzept einsatz wissenschaftlich anderer methode angewandt forschung -- 
5731,kundenbedürfnisse feststellen -- feststelle erwartung -- wunsch anforderung kunde bezug produkt dienstleistung geeignet frage aktiv zuhören -- 
5732,"ent züchten -- vorbereitung geeignet umgebung entenzucht -- auswahl herrichtung geeignet lebensraum bestimmt art ent -- überwachung wachstum gesundheit ent -- gewährleistung korrekt fütterung -- bestimmung zeitpunkt -- ent verkaufs schlachtreif erreichen zweck zuführen -- 
    "
5733,preiseeingabe werbeverkäuf beaufsichtigen -- sicherstelle -- verkaufspreis werbeaktion registrieren -- 
5734,sprinkleranlage installieren -- installation sprinkleranlage anpassung pumpe -- hauptleitung seitenzuläuf -- sprinklerköpfe -- ventil -- pvc-rohr -- bedienelement elektronisch geregelt wassersensor -- 
5735,fisch -- krustentier muschelerzeugnis -- angeboten fisch -- krustentier muschelerzeugnis -- funktion -- eigenschaft gesetzlich aufsichtsrechtlich vorschrift -- 
5736,keilriemen-kennzeichnungsvorrichtung bedienen -- bedienen keilriemen-kennzeichnungsvorrichtung einführen richtig platte beschick maschine keilrieme -- 
5737,wasser kochen -- kochen menge wasser durchführung verfahren herstellung lebensmittel -- z. b. blanchieren mandel -- -- 
5738,kontrollsystem automatisiert bühnentechnik bedienen -- bedienen kontrollsystem automatisiert bühnentechnik flugsteuerung -- vorbereiten programmieren system -- einschließlich mehrere synchronisiert bewegung -- 
5739,russisch -- russisch sprache -- 
5740,technisch baumbezogen bericht verfassen -- erstellen angemessen schriftlich bericht baumbezogen thema partei ingenieur -- anwalt hypothek versicherungsgesellschaft -- z. b. baumwurzel problem bezug stabilität gebäude infrastruktur verursachen -- 
5741,diskussion moderieren -- moderieren inszeniert inszeniert diskussion person -- sicherstelle -- teilnehmer meinung äußern thema abschweifen -- sicherstelle -- diskussion kontrolle geraten teilnehmer respektvoll höflich miteinander umgehen -- 
5742,bieterverfahr fördern -- festlegen startgebot versteigernd gegenstand ersuchen gebot -- fördern kaufwunsch bieter -- 
5743,pflanzenpflegeerzeugnisse -- spektrum behandlung belebung pflanze verwendet produkt -- z. b. düngemittel -- sprühgerat usw. 
5744,marketing verkaufsplan entwerfen -- erstellen tragfähig plan -- position unternehmen bestimmt markt beschreiben marketingstrategie nächster niederlegen -- kenntnis lokal -- national international markt -- handel ausfuhrvorschrift verkaufs ausfuhrzölle -steuern -- 
5745,gesundheitlich wohlbefinden sicherheit beachten -- einhalten anwenden wichtig aspekt gesundheitlich wohlbefinden sicherheitsrichtlini -verfahren einklang unternehmenspolitik -- melden festgestellt gesundheit sicherheitsrisiko befolgen geeignet verfahren fall unfall verletzung -- 
5746,forderung nachverfolgen -- überprüfen teil forderung jahresabschluss aufschlüsselung finanziell unternehmen unternehmen -- ergreifen maßnahme -- konto schließen geld eintreiben -- 
5747,standardbauplan lesen -- lesen verstehen standardbauplän -- maschine prozessplän -- 
5748,abfallaufkommen baumpflegetätigkeit umgehen -- vorbereiten abfallaufkommen gemäß spezifikation -- standort -- einschlägig rechtsvorschrift branchenrichtlinie -- bearbeit abfallaufkommen berücksichtigung zustand -- spezifikation anforderung standort -- 
5749,bonitätseinstufung prüfen -- prüfen einholen information ratingagentur kreditwürdigkeit unternehmen gesellschaft -- ausfallwahrscheinlichkeit kreditnehmer ermitteln -- 
5750,heizkessel bedienen -- bedienen versiegelt behälter flüssigkeite -- erhitzen -- unbedingt siedepunkt -- verdampfen -- beheizung stromerzeugung -- z. b. versorgungsbetrieb -- sicherstelle sicher verfahren streng überwachung hilfsgerat gebläse betrieb ermitteln fehler risiko -- 
5751,darstellen -- selbstdarstellung beteiligung netzwerk verbreiten werbematerial demos -- medienbericht -- website biografie -- bildung absatzförderung managementteam -- anbiet dienstleistung künftig arbeitgeber produzent -- 
5752,arzneimittelinteraktionsmanagement -- managementtätigkeit zusammenhang interaktion patient bereitgestellt arzneimittelbehandlung -- 
5753,kanalisationsnetz entwerfen -- entwickeln system verfahren bau installation kanalisationssysteme wasseraufbereitungsanlag -- abwasser wohnung einrichtung transportieren -- ordnungsgemäß entsorgung wiederverwendung sicherstellen -- entwickeln system umwelt nachhaltigkeitsaspekt -- 
5754,tatort untersuchen -- umgehend untersuchen tatort -- sicherstellen -- manipulieren -- bewertung analyse tathergang prüfen art vorhanden beweis -- 
5755,ergebnis spiel berechnen -- berechnen gewinn verlust spieler -- prüfen gewinnscheine -- gewonnen betrag ermitteln -- 
5756,hydraulik -- kraftübertragungssystem -- kraft strömend flüssigkeite kraftübertragung nutzen -- 
5757,prognose produktnachfrage erstellen -- sammlung -- analyse berechnung nachfrage produkt dienstleistung grundlage bericht einkaufstätigkeit kunde -- 
5758,entwurfskomponent landschaftsbau festlegen -- entwicklung entwurfskomponent -materialien -- standort -- zweck erwartet nutzung geeignet -- empfehlung pflanze material berücksichtigung vorhaben budget -- 
5759,werbung veranstaltung kulturstätte -- zusammenarbeit personal museum anderer kunsteinrichtunge -- veranstaltung programm entwickeln bewerben -- 
5760,auswirkung geburt sexualität informieren -- informieren mutter familie auswirkung geburt sexualverhalten -- 
5761,inbetriebnahmeprozedur kleinschiff leiten -- beobachten arbeitsparameter schiffsantriebsanlage inbetriebnahme -- kontrolle betriebsparameter stromgenerator schaltpult -- stromversorgung -- elektrisch elektronisch gerät navigationslichter -- prüfen -- betriebsparameter pneumatisch hydraulisch system innerhalb wertebereich liegen -- 
5762,urheberschaft dokument feststellen -- feststelle verfasser dokument vergleich unterschrift handschrift mittels grafologisch untersuchung -- 
5763,"nachhaltig grundsatz landwirtschaftlich produktion -- grundsatz bedingung biologisch nachhaltig landwirtschaftlich produktion -- 
	 "
5764,veröffentlichungsrecht verhandeln -- verhandeln verkauf veröffentlichungsrecht buch -- übersetzen -- verfilmen genre anpassen -- 
5765,filmverleih kontakt aufnehmen -- kontaktaufnahme filmverleih -- vorführung film serie bewegen -- 
5766,farbhärter zugeben -- einrühren farbhärter farbe -- farbe teilweise verfestigen -- 
5767,physik -- naturwissenschaft -- gegenstand untersuchung materie -- bewegung -- energie -- kraft verwandt konzept -- 
5768,tunnelbohrmaschinen-bedienpult -- funktion knöpfe -- schalter -- messinstrument monitor tunnelbohrmaschinen-bedienpult -- 
5769,vorrat autopflegemittel bestellen -- bestellung lagerung vorräten autopflegemittel schmiermittel -- filter gas -- 
5770,passant passantinne gespräch verwickeln -- ansprechen person stark frequentiert ort -- interesse sache kampagne wecken -- geld sammeln generell unterstützung sache erhalten -- 
5771,gefährlich flüssigkeite abpumpen -- abpumpen stoff -- gesundheit sicherheitsrisiko bergen -- vorrichtung -- gerät anlage -- flüssigkeite gemäß sicherheitsrichtlini lagern vorschriftsmäßig beseitigen behandeln -- 
5772,crowdsourcing-strategie -- hochrangig planung verwaltung optimierung geschäftsprozess -- idee inhalt erfassung beitrag personengruppe -- einschließlich online-gruppe -- 
5773,einhaltung stromverteilungsplän sicherstellen -- überwachung betrieb stromverteiler stromverteilungssystem -- sicherstellen -- verteilungsziel erreichen anforderung stromversorgung erfüllen -- 
5774,meteorologisch datenbank unterhalten -- entwicklung pflege meteorologisch datenbank -- hinzufügen information beobachtung -- 
5775,bindeglied tanz musikstil -- beziehung praktiziert tanzstil musikstruktur musiker -- 
5776,gasreinheit prüfen -- prüfen reinheit gas mittels speziell prüfgerat -- 
5777,"zellstoffqualität überprüfen -- sicherstellung qualität recyclingpapier zellstoff prüfung klebend verunreinigung -- kunststoff -- farbe -- ungebleicht faser -- glanz schmutz -- 
    "
5778,dokumentation übereinstimmung rechtlich bestimmung entwickeln -- erstellen professionell inhalt -- produkt -- anwendung -- komponente -- funktion dienstleistung übereinstimmung rechtlich anforderung intern extern standard beschreiben -- 
5779,"nachhaltig beschaffung umsetzen -- einbeziehung strategisch politisch ziel beschaffungsverfahr -- z. b. umweltorientiert öffentlich beschaffung -- gpp -- sozial verantwortlich öffentlich beschaffung -- srpp -- -- beitrag verringerung umweltauswirkung beschaffung -- erreichung sozial ziel verbesserung preis-leistungs-verhältniß organisation gesellschaft insgesamt -- 
	 "
5780,"tiermedizinisch anästhesieausrüstung vorbereiten -- vorbereiten einschalten anästhesie tier erforderlich gerät -- z. b. anästhesiegerät -- beatmungskreislauf -- endotrachealtubus -- intubationsbesteck anästhesiemonitore -- vergewisser -- funktionieren angemessen sicherheitsprüfung unterzogen -- 
	 "
5781,merkmal edelmetall -- variation edelmetall abhängigkeit dichte -- korrosionsfestigkeit -- elektrisch leitfähigkeit -- lichtreflexion qualität -- 
5782,haut geschlechtskrankheit -- haut geschlechtskrankheit medizinisch fachrichtung -- eu-richtlinie 2005 -- 36 -- eg nennen -- 
5783,flugticket prüfen -- prüfen flugticket bordkarte einsteigen fluggast -- begrüßen fluggast führen platz kabine -- 
5784,informationsextraktion -- eruieren extraktion information unstrukturiert halbstrukturiert digital dokument quelle verwendet technik methode -- 
5785,sozial auswirkung verfolgen -- überwachung praktik organisation unternehmen bezug ethik auswirkung groß gemeinschaft -- 
5786,zucker -- schokolade kakaohaltig süßwarenerzeugnisse -- angeboten zucker -- schokolade kakaohaltig süßwarenerzeugnisse -- funktion -- eigenschaft gesetzlich aufsichtsrechtlich vorschrift -- 
5787,regulär ausdruck verwenden -- kombinieren buchstabe bestimmt alphabet verwendung genau definiert regel -- zeichenkett generieren -- beschreibung sprache muster verwenden -- 
5788,schraubenart -- verschieden art schraube -- fertigen -- z. b. kopfschraube -- stellschraube hohlkopf -- maschinenschraube oval kopf -- maschinenschraube philips-kopf -- flachkopf-holzschraube -- schlüsselschraube -- selbstschneidend schraube -- 
5789,risikobewertung fensterreinigung -- risikobewertungsprozess -- risikofaktor berücksichtigen -- überwachung kontrollmaßnahme erfassung bewertung zusammenhang fensterreinigungsarbeit -- 
5790,lehrkräft rückmeldunge geben -- kommunikation lehrkräft -- ausführlich rückmeldung lehrleistung -- klassenmanagement einhaltung lehrplan geben -- 
5791,kampagnenaktion gestalten -- gestalt mündlich schriftlich aktion -- bestimmt ziel erreichen -- 
5792,outdoor-aktivität motivieren -- motivieren gruppe outdoor-aktivität -- anpassen praxis -- begeisterung motivation gruppe aufrechterhalten -- 
5793,wasserzähler ablesen -- ablesen messgerät -- wasserverbrauch anlage wohnung erfassen -- korrekt festhalten ergebnis -- 
5794,wartung gleisbaumaschin sicherstellen -- sicherstelle -- schienenfahrzeug funktionstüchtig zustand -- warten gleisbaumaschin -- 
5795,zusammensetzung lebensmittel -- chemische ernährungsphysiologisch zusammensetzung lebensmittel -- änderung bestehend produkt verfahren entwicklung neu produkt verfahren ermöglichen -- 
5796,unterweisen -- anleitung unterrichtung anderer person bereitstellung einschlägig kenntnis unterstützung -- 
5797,behandlung zusammenhang chirurgisch eingriff verschreiben -- verschreiben behandlung operation -- beruhigungsmittel -- diät antibiotikum -- vorbereiten behandeln operierend körperbereich patient -- 
5798,"charakterisierung garn überwachen -- überwachung sicherstellung qualität geliefert garn beaufsichtigung charakterisierung prüfung -- 
	 "
5799,seeverkehrskommunikationsanlag bedienen -- bedienen bord befindlich seeverkehrskommunikationsanlag -- kommunikation schiff kontrollzentrum land -- z. b. übermittlung dringend sicherheitsnachrichte -- send empfangen warnung usw. 
5800,sicherheitsprozedur kleinschiff ausführen -- ergreifen notfallmaßnahme medizinisch versorgung krank verletzt person bord gemäß festgelegt verfahren minimierung möglich verletzung krankheit -- 
5801,fahrlad bedienen -- bedienen fahrlader -- der heißen elektrisch diesel betrieben fahrzeug gummibereift fahrwerk -- reinigen fahrbahn transport untertagebau einsetzen -- 
5802,textilausstattung herstellen -- entwerfen herstellen vorhang -- sitzbezüg -- teppiche anderer textilausstattung schneiden nähen stoff material -- 
5803,probe vorbereiten -- entscheiden inhalt probe -- studieren choreografisch material anderer bestandteil arbeit -- aufbauen erforderlich technisch materiell ressource unterstütz einrichten probenraum -- 
5804,webprogrammierung -- programmplanungsparadigma -- kombination markup -- wobei text kontext struktur ergänzen -- anderer webprogrammierungscod ajax -- javascript php stützen -- geeignet maßnahme durchführen inhalt visualisieren -- 
5805,mechanisch anlage -- mechanische anlage -- einschließlich getriebe -- motor -- hydraulisch pneumatisch system -- funktion wahrscheinlich defekt -- 
5806,munitionswartung -- art wartungstechnik auswirkung verschieden art schusswaffe waffe -- 
5807,graviertechnik -- merkmal verschieden material methode -- gravieren oberfläche einsetzen -- 
5808,landschaftsbaugerät arbeiten -- bedienen verschieden landschaftsbaugerat kettensäge -- rasenkantenschneider -- motorhacken -- baggerlader -- radlader -- beetkantenschneid -- rasenmäher -- gebläse -- kippanhänger -- sodenschneider -- motorsensen -- erdbohrer bohrer -- 
5809,tierärztlich diagnoseverfahr assistieren -- vorbereiten ausrüstung tier tierärztlich diagnoseverfahrum -- durchführen unterstützen probenahme -- aufnehmen tierprobe analyse kommunizieren ergebnis -- pflege untersuchend tier -- 
5810,dachdeckungstechniken -- verfahren -- oberer abdeckung gebäude spezifisch material herstellen -- z. b. keramikziegel -- schindel -- schiefer -- metall -- zement pflanzenfaser -- 
5811,ikt-risikomanagement durchführen -- entwickeln umsetzen verfahren ermittlung -- bewertung -- behandlung minderung ikt-risike -- hackerangriff datenleck -- entsprechend risikostrategie -- verfahren richtlinie unternehmen -- analysieren manag sicherheitsrisiko -vorfällen -- empfehlen maßnahme verbesserung strategie digital sicherheit -- 
5812,schwedisch schreiben -- verfassen schriftlich text schwedisch sprache -- 
5813,staf -- -- staf -- software-programm durchführung konfigurationsidentifizierung -- -überwachung -- -buchführung -audit -- 
5814,verfügbarkeit gerät sicherstellen -- sicherstelle -- erforderlich gerät beginn verfahren bereitstellen einsatzbereit verfügbar -- 
5815,beratung kommunikationsstrategie leisten -- beraten unternehmen organisation bezug intern extern kommunikationsplan vertretung -- einschließlich online-präsenz -- vorlegen vorschlag verbesserung kommunikation sicherstelle -- beschäftigter wichtig information antwort frage erhalten -- 
5816,element geräteperformance -- element -- leistung gerät anzeigen beeinflussen -- anhaltspunkt leistung gerät genauigkeit präzision gerät -- der heißen reaktionszeit -- auflösung reichweite -- leistungshinweis technisch leistungsfähigkeit gerät leistung -- elektromagnetisch störung transient spannung -- hinweis leistung umweltfaktor -- leistung gerät beeinflussen -- z. b. feuchtigkeit -- betriebstemperatur staub -- 
5817,verfahren erfüllung vorschrift fliegen luftfahrzeug gewicht 5700 kg durchführen -- sicherstelle -- betriebsbescheinigunge gültig -- startmasse mindestens 5700 kg betragen -- mindestbesatzung entsprechend anforderung vorschrift fliegen angemessen -- konfigurationseinstellung korrekt triebwerk flug eignen -- 
5818,trend kunstszene beobachten -- verfolgen veranstaltung -- trend sonstig entwicklung kunstszene -- lesen aktuell kunstpublikation -- idee entwickeln bezug einschlägig aktivität kunstszene laufenden bleiben -- 
5819,logopädie -- theorie methode zusammenhang stimm -- sprech -- sprach artikulationsstörung kind erwachsene -- unabhängig -- angeboren -- unfall krankheitsbedingen -- 
5820,betrieb rohrleitungsinfrastruktur prüfen -- prüfen rohrleitung bezug kontinuierlich materialfluss leitung undichtigkeit bewerte eignung standort rohrleitung -- 
5821,art wellnesseinrichtung -- information -- verschieden art wellnesseinrichtung unterscheiden -- z. b. therme -- hammam -- medizinisch spa -- ayurvedisch spa -- entspannungseinrichtung -- wellnesseinrichtung touristisch anlage traditionell spa -- praktik unterscheiden bezug behandlung -- therapie -- dienstleistung -- programm regelung -- 
5822,"fahrzeuginnenraum-einrichtung einbauen -- einbau fahrzeugteile -- türgriff -- scharnier schloß -- sowohl intern extern -- anpassung zubehör wunsch kunde -- kundin -- 
	 "
5823,bohrtätigkeit koordinieren -- start -- überwachen beenden bohrtätigkeit -- koordinieren personal bohrstelle -- 
5824,leiterplatt -- leiterplatt fast elektronisch gerät wesentlich bestandteil -- bestehen dünn wafer substrat -- elektronisch bauteil mikrochip angebracht -- elektronisch bauteil elektrisch leiterbahne pad miteinander verbinden -- 
5825,markenpositionierung festlegen -- entwickeln eindeutig identität marktposition -- kommunizieren interessenvertreter sicherstelle -- marke mitbewerber abheben -- 
5826,automatisiert softwaretest entwickeln -- erstellen automatisiert softwaretest mithilfe speziell sprache prüfwerkzeug -- ressource einsparen effizienz wirksamkeit testdurchführung steigern -- 
5827,fangaktion fischlaich managen -- plane durchführen fangaktion quarantäne freilandlaichbeständen -- überwach einsammeln larve jungtier umwelt -- kontrollieren geeignet verfahren spezifisch art fisch -- weichtieren -- krebstieren usw. 
5828,"zustand museumsobjekt bewerten -- zusammenarbeit sammlungsmanager restaurator -- zustand museumsobjekt darlehen ausstellung bewerten dokumentieren -- 
	 "
5829,instrumententafel cockpit bedienen -- bedienen instrumententafel cockpit pilotenraum entsprechend erfordernis flug -- überwachen bordelektronik -- reibungslos flug gewährleisten -- 
5830,geoelektromagnetisch messung vornehmen -- messe struktur zusammensetzung boden mittels boden- luftgestützter elektromagnetisch gerät -- 
5831,auditverfahr -- technik methode -- systematisch unabhängig prüfung datum -- strategie -- operation leistung einsatz computergestützt prüfwerkzeug -techniken -- caat -- kalkulationstabell -- datenbanke -- statistisch analyse business-intelligence-software unterstützen -- 
5832,belichter bedienen -- verwenden belichter -- elektronisch text grafik direkt film -- druckplatte lichtempfindlich papier übertragen -- bild mittels laser rasterbildprozessor erzeugen -- handeln druckvorstufe herstellung druckplatte -- 
5833,gruppe zielgruppe untersuchen -- durchführen geeignet forschungstätigkeit -- bestimmt gruppe potenziell markt zielmarkt untersuchen -- ermitteln spezifisch bedarf -- tanzstil -- rolle beziehung kommunikationssystem -- bedarf zuvor decken -- feststellen bedeutung wert -- richtlinie sprache -- kommunikation gruppe relevant -- 
5834,fermentationsbehälter sterilisieren -- sterilisieren arbeitsplatz ausrüstung mittels schläuche -- schaber -- bürste chemisch lösung -- 
5835,transportstrategie unternehmen leiten -- leiten transportstrategie unternehmen -- kommunizieren mitglied managementteam -- sicherstelle -- strategie unternehmensziel übereinstimmen -- 
5836,büroverwaltung -- bürokratisch schritt zusammenhang verwaltungsbereiche büroumfeld -- tätigkeit schritt finanzplanung -- führen aufzeichnung abrechnung verwaltung logistik organisation umfassen -- 
5837,bohrlöcher reparieren -- wartung reparatur brunnen -- riß beschädigung aufweisen -- plombier brunnen -- verwenden -- 
5838,vorschrift landwirtschaftlich betrieb einhalten -- sicherstelle -- landwirtschaftlich tätigkeit vorschrift entsprechen -- 
5839,notfallmanagement aufklären -- aufklären gemeinschaft -- organisation einzelperson risiko notfallmanagement -- z. b. bezug entwicklung umsetzung prävention reaktionsstrategi -- aufklären notfallmaßnahme -- risiko jeweilig gebiet jeweilig organisation abstimmen -- 
5840,mechatronisch instrument kalibrieren -- korrigieren einstellen zuverlässigkeit mechatronisch instrument messe ausgabe vergleich ergebnis datum referenzgerät standardisiert ergebnis -- durchführung regelmäßig abstand herstellervorgabe -- 
5841,geschäftsprozessmodelle entwerfen -- entwickeln formell informell beschreibung geschäftsprozeß organisationsstruktur mithilfe geschäftsprozessmodell -- notation werkzeug -- 
5842,psychosozial interventionsformen -- art unterstützungsmaßnahme interventionsform -- belastend ereignis -- symptom risiko verringern lebensqualität verbessern -- 
5843,abstreifleist einstellen -- einstellen abmessung abstreifleiste mithilfe gurtbandförderer -- sodass angegeben parameter gummibahn entsprechen -- 
5844,unebenheit wachsen -- wachsen rissen unebenheit fertig stein -- auswählen wachses abhängig steinfarbe -- 
5845,zugang sehenswürdigkeit organisieren -- organisieren anmeldung aktivität sehenswürdigkeit -- organisieren zahlung voranmeldung verbreiten informationsbroschür -- 
5846,wasserfallmodell -- wasserfallmodell methodik entwicklung softwaresystem anwendung -- 
5847,bauprojekt leiten -- verwalten ressource -- budget -- frist humanressource bauprojekt -- erstellen terminplan plane projekt relevant technisch tätigkeit -- 
5848,touristisch produkt entwickeln -- entwickeln fördern touristisch produkt -- aktivität -- dienstleistung pauschalangebot -- 
5849,"keilriemus ausklinkmaschine einstellen -- betreuen maschine -- keilriemus gummi flexibel -- messen angabe identifizierung aufstempeln -- positionieren bänd dehnbar rad ausklinkmaschine -- 
    "
5850,schwangerschaft überwachen -- durchführen untersuchung überwachung normal verlaufend schwangerschaft -- 
5851,glasfaserkunststoff entlüften -- verwenden bürste walze entfernen luftblase -- schwächung glasfaserkunststoff führen können -- optimal anhaften harz außenhaut produkt vorherig schicht gewährleisten strukturell mangel vermeiden -- 
5852,technik verbesserung wein einsetzen -- verwenden technik ordnungsgemäßer lagerung wein erhaltung qualität verbesserung aroma -- geschmack komplexität reifung -- 
