,0
79,"ausbildung ausbilder vorbereitung aevo-prüfungqualifiziert mitarbeiter/-inne wesentlich erfolgsfaktor unternehmen beginnen personalentwicklung berufsausbildung betrieblich ausbildungsplanung praxis ausbilder schlüsselrolle umsetzung ausbildungsinhalt fundiert fachkenntnis befähigung beziehungsmanagement pädagogisch geschick abverlangen 
 effizient ausbildung nachwuchsförderung angesichts wandel arbeitsorganisation hoch fachlich fachübergreifend anforderung modern betrieb qualifiziert ausbilder leisten lehrgang richten mensch aufgabe rolle kompetent ausbilder rahmen betrieblich ausbildung vorbereiten bisherig ausbildertätigkeit reflektieren optimieren 
 vermittlung erfolgen handlungsfelder ablauf aufgabenstellunge ausbildungspraxis entsprechen bereiten teilnehmer handlungsorientiert methode ausbilderprüfung gemäß ausbildereignungsverordnung 

 lerninhalt 
 ausbildungsvoraussetzungen prüfen ausbildung planen 
 ausbildung vorbereiten 
 ausbildung durchführen 
 ausbildung abschließen        "
80,"ausbildung ausbilder vorbereitung aevo-prüfungqualifiziert mitarbeiter/-inne wesentlich erfolgsfaktor unternehmen beginnen personalentwicklung berufsausbildung betrieblich ausbildungsplanung praxis ausbilder schlüsselrolle umsetzung ausbildungsinhalt fundiert fachkenntnis befähigung beziehungsmanagement pädagogisch geschick abverlangen 
 effizient ausbildung nachwuchsförderung angesichts wandel arbeitsorganisation hoch fachlich fachübergreifend anforderung modern betrieb qualifiziert ausbilder leisten lehrgang richten mensch aufgabe rolle kompetent ausbilder rahmen betrieblich ausbildung vorbereiten bisherig ausbildertätigkeit reflektieren optimieren 
 vermittlung erfolgen handlungsfelder ablauf aufgabenstellunge ausbildungspraxis entsprechen bereiten teilnehmer handlungsorientiert methode ausbilderprüfung gemäß ausbildereignungsverordnung 

 lerninhalt 
 ausbildungsvoraussetzungen prüfen ausbildung planen 
 ausbildung vorbereiten 
 ausbildung durchführen 
 ausbildung abschließen       "
81,"ausbildungsmarketing finden azubismarketingtrends akquisemöglichkeit gewinnen generation z unternehmen 
 jeder unternehmen finden genügend qualifiziert auszubildender tendenz steigend hilfe digital medium gut ausbildungsmarketing bewirken kostengünstig effektiv sofort umsetzbar möglichkeit jung mensch aufmerksam erfahren instrument 
 branche unternehmensgröße sinnvoll gut bewerber generation z gewinnen 

 lernziel 
 chance geeignet auszubildender finden 
 bedürfnis generation z erwartung jung mensch 
 zielgruppendefinition rolle eltern erweitert zielgruppe 
 & sprechen zielgruppe 
 social media marketing videomarketing stellenanzeig modern gestalten karriereseite attraktiv gestalten 
 engagieren netzwerk effektiv umsetzungsmöglichkeit 
 bewerbungsmöglichkeit analyse auswahltechnik effektiv interviewmethode acs 

 inhalt 
 chance geeignet auszubildender finden zahl datum fakt 
 bedürfnis generation z erwarten jung mensch ausbildung 
 zielgruppendefinition ansprechen 
 rolle eltern erweitert zielgruppe 
 sprechen zielgruppe 
 sprechen zielgruppe informieren unternehmen 
 social media marketing einsetzen 
 videomarketing 
 stellenanzeig modern gestalten 
 karriereseite attraktiv gestalten 
 engagieren netzwerk effektiv umsetzungsmöglichkeit 
 bewerbungsmöglichkeit analyse 
 auswahltechnik effektiv interviewmethode acss     "
82,"ausbildungsmarketing finden azubismarketingtrends akquisemöglichkeit gewinnen generation z unternehmen 
 jeder unternehmen finden genügend qualifiziert auszubildender tendenz steigend hilfe digital medium gut ausbildungsmarketing bewirken kostengünstig effektiv sofort umsetzbar möglichkeit jung mensch aufmerksam erfahren instrument 
 branche unternehmensgröße sinnvoll gut bewerber generation z gewinnen 

 lernziel 
 chance geeignet auszubildender finden 
 bedürfnis generation z erwartung jung mensch 
 zielgruppendefinition rolle eltern erweitert zielgruppe 
 & sprechen zielgruppe 
 social media marketing videomarketing stellenanzeig modern gestalten karriereseite attraktiv gestalten 
 engagieren netzwerk effektiv umsetzungsmöglichkeit 
 bewerbungsmöglichkeit analyse auswahltechnik effektiv interviewmethode acs 

 inhalt 
 chance geeignet auszubildender finden zahl datum fakt 
 bedürfnis generation z erwarten jung mensch ausbildung 
 zielgruppendefinition ansprechen 
 rolle eltern erweitert zielgruppe 
 sprechen zielgruppe 
 sprechen zielgruppe informieren unternehmen 
 social media marketing einsetzen 
 videomarketing 
 stellenanzeig modern gestalten 
 karriereseite attraktiv gestalten 
 engagieren netzwerk effektiv umsetzungsmöglichkeit 
 bewerbungsmöglichkeit analyse 
 auswahltechnik effektiv interviewmethode acs     "
83,"betrieblicher datenschutzbeauftragter ihk live-online zertifikatslehrgang qualifizieren künftig datenschutzbeauftragte datenschutz bundesdatenschutzgesetz bsdsg eu datenschutz-grundverordnung eu-dsgvo unternehmen professionell gestalten erfolgreich lehrgangsteilnehmer jeweilig unternehmen relevant datenschutzfrag frage it-sicherheit erkennen lösung herbeiführen 

 lehrgangsteilnehmer verfügen weiterbildung notwendig rechtlich technisch organisatorisch kenntnis fachkunde datenschutzbeauftragter bsdsg eu-dsgvo 
 anforderung datenschutz eigenverantwortlich wirksam umsetzen 
 datenschutzbeauftragter arbeitsfähig 
 ergebnis fallstudie anwendung betrieblich praxis übertragen 

 kurs live online trainer teilnehmer verbinden klassisch seminar ort trainer thema gemeinsam 
 hören sehen trainer präsentation rückfrage per mikrofon chatsystem stellen 
 falls termin verpassen problem termin zusätzlich aufzeichnung verfügung stellen 

 lehrgangsinhalt 
 1 grundlage datenschutz ca. 9 ustd 
 datum personenbezogen datum 
 schutzrecht 
 betrieblich datenschutzbeauftragter 
 datenschutz datensicherheit 
 aufsichtsbehörde 

 2 datenschutzrecht ca. 14 ustd 
 rechtssituation kernaufgabe 
 rechtslage betroffen 
 folge datenschutzverstöß 
 verarbeitungsverzeichnis 
 datenschutz-folgenabschätzung 

 3 organisation datenschutz datensicherheit ca. 14 ustd 
 datenschutz-begehung 
 erstellung datenschutzkonzept 
 verarbeitungserfassung 
 datenschutz-folgenabschätzung 
 datenschutzrichtlinie konzept 
 zusammenarbeit aufsichtsbehörde 

 4 it-sicherheit technisch-organisatorisch datenschutz ca. 14 ustd 
 schnittstell datenschutzbeauftragtem it 
 it-basiskomponente 
 intern extern dienst 
 authentifizierungsverfahren verschlüsselungsprinzipi 
 cloud computing 
 arbeitsform 
 datenschutzmanagement-system dsms 

 5 praxishinweis start datenschutzbeauftragter ca. 4 ustd 
 technisch voraussetzung 
 pc apple mac tablet 7 zoll 
 microsoft windows 7 hoch mac os 10.8 mountain lion hoch android 4.0x hoch   ios 7.0 hoch 
 headset empfehlen lautsprecher + mikrofon 
 internetzugang mind. 0,6 mbps download 0,2 mbps upload 
 geschwindigkeitstest speedtest.t-online.de     "
84,"betriebliches rechnungswesen ihk grundgedanke lehrgang umfassend wissensvermittlung bereich buchführung teilnehmer methodik rechtlich rahmenbedingung rechnungswesen vertraut lehrgang wenden kaufmännisch mitarbeiter wiedereinsteiger selbständig tätig jungunternehmer existenzgründer 
 seminar besitzen kompakt überblick wesentlich grundbegriff methode rechnungswesen wichtig instrument vertraut vermittelt wissen unternehmen bereich geschäftsablauf anwenden lage qualifizieren mitreden souverän betriebswirtschaftlich begriff steuerungskennzahl rechnungswesen 

 lerninhalt 
 1. modul buchführung 
 aufgabe system doppelt buchführung 
 erfolgsermittlung einkauf verkauf bestandsveränderung 
 system umsatzsteuer geschäftsfall privat bereich 
 organisation buchführung 
 bezug vertriebskosten kaufpreisminderung 
 darlehen wechselbuchunger 
 personalbuchhaltung 

 2. modul kosten leistungsrechnung 
 aufgabe grundlage kosten leistungsrechnung 
 kostenartenrechnung 
 kostenstellenrechnung 
 kostenträgerrechung 
 deckungsbeitragsrechnung teilkostenrechnung 
 pc-anwendung 

 3. modul jahresabschluss unternehmung betrieblich steuer 
 ansatz bewertung bilanzposition jahresabschluss 
 unternehmensbezogen steuerart 
 jahresabschluss aufbereitung analyse 
 kostenplanung kostenanalyse investitionsrechnung      "
85,"buchführung einsteigerdas 1 x 1 buchführung einsteiger 
 lernen wichtig begriff kaufmännisch buchführung kennen bilanz gewinn verlustrechnung periodisch erfolgsrechnung seminar lage system doppelt buchführung arbeiten wissen pflicht kleinunternehmer bzw. finanzamt 

 lernziel 
 bedeutung aufgabe buchführung 
 rechtsgrundlag handel steuerrecht 
 systematik doppelt buchführung konto 
 buchführungspflicht aufzeichnungspflicht 
 aktiv-/passivkonto 
 buche bestandskonte erfolgskont 
 gewinn verlustrechnung bestandsveränderung unfertig fertig erzeugnis 
 verbuchung steuer abschreibung sachanlag 
 bwa     "
86,"buchführung einsteigerdas 1 x 1 buchführung einsteiger 
 lernen wichtig begriff kaufmännisch buchführung kennen bilanz gewinn verlustrechnung periodisch erfolgsrechnung seminar lage system doppelt buchführung arbeiten wissen pflicht kleinunternehmer bzw. finanzamt 

 lernziel 
 bedeutung aufgabe buchführung 
 rechtsgrundlag handel steuerrecht 
 systematik doppelt buchführung konto 
 buchführungspflicht aufzeichnungspflicht 
 aktiv-/passivkonto 
 buche bestandskonte erfolgskont 
 gewinn verlustrechnung bestandsveränderung unfertig fertig erzeugnis 
 verbuchung steuer abschreibung sachanlag 
 bwa     "
87,"business coach ihk bequem beruf 
 orientiert hoch qualitätskriteri ihk stiftung warentest erstrecken ausbildung 24 seminartag 12 wochenende gleichmäßig 1 verteilen inhalt optimal teilnehmer nachbereiten durchlaufen abgeschlossen themenblock pro monat block bestehen 2 aufeinanderfolgend seminartag samstag sonntag veranstalten konzentration 1 wochenende pro monat ermöglichen ausbildung bequem beruf absolvieren 

 flexibel modular aufbau 
 coaching ausbildung 12 abgeschlossen modul bestehen einjährig ausbildungszeit verpasst modul bequem zykl nachholen 

 lernziel 
 persönlichkeitsentwicklung 
 nlp grundlage nlp technik meta-modell reframing 
 menschenkenntnis 
 kommunikation & konfliktmanagement 
 gewaltfrei kommunikation gfk 
 nlp glaubenssatzarbeit verhaltensänderung 
 changemanagement the key system 
 führungskräftetraining & führungskultur 
 zeitmanagement seminargestaltung & rhetorik 
     "
88,"büromanagement & selbstorganisationfühlen aufgabe wachsen angst groß werdend stapel erledigung generell chaos schreibtisch überblick verlieren vergessen können 
 besuchen seminar geregelt struktur leiten geordnet arbeitsumfeld arbeit erleichtern suchen verbringen lassen termindruck dokumentenchao unterkriegen ordnung herrschen zeitlich strukturiert managen alltag ruhig ablaufen 
 inhalt 
 struktur büroalltag schaffen 
 informationsmanagement 
 terminplanung wertschätzend umgang 
 aufgabe selbstmanagement 
 dokumentenmanagement 
 zeitgemäßes ablage archivierungssystem 
 arbeitsplatzgestaltung schreibtischorganisation 
 beispiel täglich praxis     "
89,"büromanagement & selbstorganisationfühlen aufgabe wachsen angst groß werdend stapel erledigung generell chaos schreibtisch überblick verlieren vergessen können 
 besuchen seminar geregelt struktur leiten geordnet arbeitsumfeld arbeit erleichtern suchen verbringen lassen termindruck dokumentenchao unterkriegen ordnung herrschen zeitlich strukturiert managen alltag ruhig ablaufen 

 inhalt 
 struktur büroalltag schaffen 
 informationsmanagement 
 terminplanung wertschätzend umgang 
 aufgabe selbstmanagement 
 dokumentenmanagement 
 zeitgemäßes ablage archivierungssystem 
 arbeitsplatzgestaltung schreibtischorganisation 
 beispiel täglich praxis     "
90,"controlling einsteigerdas 1 x 1 controlling einsteiger 
 lernen wichtig begriff betrieblich controlling kennen controllingtools geschäftsjahr hilfe kennzahl analysieren controlling geld & sparen seminar lage controlling praxis anwenden ausbauen 

 lernziel 
 verstehen controlling 
 teilgebiet praxis 
 controlling betrieb aufbauen 
 hilfe controlling erkennen 
 typisch operativ controllingtools anwendungsbeilspielen     "
91,"controlling einsteigerdas 1 x 1 controlling einsteiger 
 lernen wichtig begriff betrieblich controlling kennen controllingtools geschäftsjahr hilfe kennzahl analysieren controlling geld & sparen seminar lage contorlling praxis anwenden ausbauen 
 lernziel 
 verstehen controlling 
 teilgebiet praxis 
 controlling betrieb aufbauen 
 hilfe controlling erkennen 
 typisch operativ controllingtools anwendungsbeilspielen     "
92,"aktuell reisekostenrecht wissensupdateda reisekostenrecht ermittlung reisekosten vereinfachen rechtssicherheit praxis führen unser seminar geben arbeitgeber zukünftig ändern fallstricke beachten gestaltungsmöglichkeit ergeben 

 inhalt 
 ermittlung reisekoster 
 rechtssicherheit praxis 
 verändern ändern 
 fallsticke beachten 
 gestaltungsmöglichkeit ergeben 

 nutzen 
 seminar erhalten information grundlage reisekostenrecht neuerung gesetzgebungsverfahren wichtig änderung rechtsprechung ergeben 
 möglichkeit kommend vormerken lassen buchen einfach seminar vorab anfrage informieren sobald termin kommend planen     "
93,"aktuell reisekostenrecht wissensupdateda reisekostenrecht ermittlung reisekosten vereinfachen rechtssicherheit praxis führen unser seminar geben arbeitgeber zukünftig ändern fallstricke beachten gestaltungsmöglichkeit ergeben 

 inhalt 
 ermittlung reisekoster 
 rechtssicherheit praxis 
 verändern ändern 
 fallsticke beachten 
 gestaltungsmöglichkeit ergeben 

 nutzen 
 seminar erhalten information grundlage reisekostenrecht neuerung gesetzgebungsverfahren wichtig änderung rechtsprechung ergeben 
 möglichkeit kommend vormerken lassen buchen einfach seminar vorab anfrage informieren sobald termin kommend planen     "
94,"optimal bewerbung auswahlprozessdie anforderung gut bewerbungsprozess zug fachkräftemangel digitalisierung stark verändern bewerber erwarten einfach schnell möglichkeit einreichung bewerbung gleichzeitig arbeitgeber schnell reagieren entscheiden kandidat arbeitsplatz woanders annehmen 

 kandidat optimal bewerbererlebni bieten nase vorn gewinnen richtig mitarbeiter 

 bestimmen aufwand betreiben kandidat kennenlernen treffsich entscheidung fällen einstellung ungeeignet person führen schnell hoch kosten frust entgehend umsatz fragetechnike gezielt einsatz auswahlinstrument ermöglichen wirklich kennenlernen kandidat erhöhen erheblich wahrscheinlichkeit richtig mitarbeiter auswählen 

 seminar wissen methode helfen frei stelle unternehmen passend besetzen 

 bewerbungsprozess unternehmen effizient gestalten 
 schnelligkeit prozess bewerber verlieren 
 digital element nutzen bewerbungsprozes schnell zielgerichtet erfolgreich 
 auswahlinstrument stelle eignen 
 auswahlverfahren gestalten richtig entscheidung treffen 
     "
95,"optimal bewerbung auswahlprozessdie anforderung gut bewerbungsprozess zug fachkräftemangel digitalisierung stark verändern bewerber erwarten einfach schnell möglichkeit einreichung bewerbung gleichzeitig arbeitgeber schnell reagieren entscheiden kandidat arbeitsplatz woanders annehmen 

 kandidat optimal bewerbererlebni bieten nase vorn gewinnen richtig mitarbeiter 

 bestimmen aufwand betreiben kandidat kennenlernen treffsich entscheidung fällen einstellung ungeeignet person führen schnell hoch kosten frust entgehend umsatz fragetechnike gezielt einsatz auswahlinstrument ermöglichen wirklich kennenlernen kandidat erhöhen erheblich wahrscheinlichkeit richtig mitarbeiter auswählen 

 seminar wissen methode helfen frei stelle unternehmen passend besetzen 

 bewerbungsprozess unternehmen effizient gestalten 
 schnelligkeit prozess bewerber verlieren 
 digital element nutzen bewerbungsprozes schnell zielgerichtet erfolgreich 
 auswahlinstrument stelle eignen 
 auswahlverfahren gestalten richtig entscheidung treffen 
     "
96,"zollprüfer vorbereiten erhalten kompakt überblick kontrolle warenein ausfuhren zoll möglich vereinfachung erleichterung umfassend besprechen sachverhalt ablauf zollprüfunge pflicht bfa berichtsfirma firmenintern vorbereitung zollprüfunge einzuhaltend bestimmung fehlerquell exportkontrolle zollanmeldung tarifierung vorlage präferenznachweis einhaltung verpflichtung erteilt bewilligung eingehen somit wichtig schwerpunkt gegenstand außenprüfung 

 kontrolle zoll überblick verfahren 
 prüfung zollverwaltung rechtsgrundlag procedere 
 art außenprüfung sachverhalt fehlerpotentiale präventiv maßnahme unternehmen 
 anwendung digital betriebsprüfung 
 management außenprüfunge unternehmen vorbereitung ablauf beendigung auswertung prüfung 
 zugelassene wirtschaftsbeteiligter erleichterung unternehmen zollkontrolle zollprüfung 
     "
97,"zollprüfer vorbereiten erhalten kompakt überblick kontrolle warenein ausfuhren zoll möglich vereinfachung erleichterung umfassend besprechen sachverhalt ablauf zollprüfunge pflicht bfa berichtsfirma firmenintern vorbereitung zollprüfunge einzuhaltend bestimmung fehlerquell exportkontrolle zollanmeldung tarifierung vorlage präferenznachweis einhaltung verpflichtung erteilt bewilligung eingehen somit wichtig schwerpunkt gegenstand außenprüfung 

 kontrolle zoll überblick verfahren 
 prüfung zollverwaltung rechtsgrundlag procedere 
 art außenprüfung sachverhalt fehlerpotentiale präventiv maßnahme unternehmen 
 anwendung digital betriebsprüfung 
 management außenprüfunge unternehmen vorbereitung ablauf beendigung auswertung prüfung 
 zugelassene wirtschaftsbeteiligter erleichterung unternehmen zollkontrolle zollprüfung 
     "
98,"persönlich nachfolgestrategie optimal planung unternehmerdie unternehmensnachfolge vielschichtig prozess gründlich vorbereitung bedürfen langfristige planung rechtzeitig auseinandersetzung wesentlich faktor erfolgreich unternehmensnachfolge person nachfolger basis erfolgreich nachfolgeprozess 

 leitfrage workshop 
 gestalten unternehmensübergabe unternehmen 
 zeitplan verfolgen 
 übergabe planen 
 stellen unternehmen außen dar 
 aspekt wichtig 
 weg unternehmen vermarkten 
 finden richtig nachfolger 
 erwartung wunsch 
 potenziell käufer erwarten 
 kriterium suche potenziell nachfolger beachten 

 thema workshop 
 phase übergabeprozeß individuell planung nächster schritt 
 möglichkeit risiko unternehmensübergabe 
 position unternehmensübergabe 
 reflexion erwartung 
 unternehmensverkauf nachfolger kunde 
 marketingoption unternehmensnachfolge richtig nachfolger finden 
 ausarbeitung darstellung geschäftsmodell 
 kommunikation nachfolgeprozess     "
99,"persönlich nachfolgestrategie optimal planung unternehmerdie unternehmensnachfolge vielschichtig prozess gründlich vorbereitung bedürfen langfristige planung rechtzeitig auseinandersetzung wesentlich faktor erfolgreich unternehmensnachfolge person nachfolger basis erfolgreich nachfolgeprozess 

 leitfrage workshop 
 gestalten unternehmensübergabe unternehmen 
 zeitplan verfolgen 
 übergabe planen 
 stellen unternehmen   außen dar 
 aspekt   wichtig 
 weg unternehmen vermarkten 
 finden richtig nachfolger 
 erwartung wunsch 
 potenziell käufer erwarten 
 kriterium suche potenziell nachfolger beachten 

 thema workshop 
 phase übergabeprozeß individuell planung nächster schritt 
 möglichkeit risiko unternehmensübergabe 
 position unternehmensübergabe 
 reflexion erwartung 
 unternehmensverkauf nachfolger kunde 
 marketingoption unternehmensnachfolge richtig nachfolger finden 
 ausarbeitung darstellung geschäftsmodell 
 kommunikation nachfolgeprozess     "
